beta,gamma,mu
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.25,0.090909091,0.0028
0.25,0.090909091,0.0028
0.25,0.090909091,0.0028
0.25,0.090909091,0.0028
0.25,0.090909091,0.0028
0.25,0.090909091,0.0028
0.25,0.090909091,0.0028
0.25,0.090909091,0.0028
0.25,0.090909091,0.0028
0.25,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
0.15,0.090909091,0.0028
